PubID;Name;Company Name;Address;City;State;Zip;Telephone;Fax;Comments
1;SAMS;SAMS;11711 N. College Ave., Ste 140;Carmel;IN;46032;;;
2;PRENTICE HALL;PRENTICE HALL;15 Columbus Cir.;New York;NY;10023;800-922-0579;;
3;M & T;M & T BOOKS;;;;;;;
4;MIT;MIT PR;;;;;;;
5;MACMILLAN COMPUTER;MACMILLAN COMPUTER PUB;11 W. 42nd St., 3rd flr.;New York;NY;10036;212-869-7440;;
6;HIGHTEXT PUBNS;HIGHTEXT PUBNS;;;;;;;
7;SPRINGER VERLAG;SPRINGER VERLAG;;;;;;;
8;O'REILLY & ASSOC;O'REILLY & ASSOC;90 Sherman St.;Cambridge;MA;02140;;;
9;ADDISON-WESLEY;ADDISON-WESLEY PUB CO;Rte 128;Reading;MA;01867;617-944-3700;617-964-9460;
10;JOHN WILEY & SONS;JOHN WILEY & SONS;605 Third Ave;New York;NY;10158;212-850-6000;212-850-6088 
11;SINGULAR;SINGULAR PUB GROUP;;;;;;;
12;Duke Press;Duke Press;;;;;;;
13;Oxford University;Oxford University Press;;;;;;;
14;Mit Press;Mit Press;;;;;;;
15;CAMBRIDGE UNIV;CAMBRIDGE UNIV PR;;;;;;;
16;Q E D;Q E D PUB CO;;;;;;;
17;Cambridge University;Cambridge University Press;;;;;;;
18;WORLD SCIENTIFIC;WORLD SCIENTIFIC PUB CO;;;;;;;
19;IDG;IDG BOOKS WORLDWIDE;;;;;;;
20;GOWER PUB;GOWER PUB CO;;;;;;;
21;John Wiley;John Wiley;605 Third Ave;New York;NY;10158;212-850-6000;212-850-6088 ;
22;MCGRAW HILL TEXT;MCGRAW HILL TEXT;;;;;;;
23;ZIFF DAVIS;ZIFF DAVIS;;;;;;;
24;ORACLE PR;ORACLE PR;;;;;;;
25;CORIOLIS GROUP;CORIOLIS GROUP;;;;;;;
26;Prentice-Hall;Prentice-Hall;;;;;;;
27;South-Western Educational;South-Western Educational;P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
28;INTL THOMSON COMPUTER PR(SHRT DISC);INTL THOMSON COMPUTER PR(SHRT DISC);;;;;;;
29;PRENTICE HALL;PRENTICE HALL COMPUTER BOOKS;15 Columbus Cir.;New York;NY;10023;800-922-0579;;
30;MARCEL DEKKER;MARCEL DEKKER;;;;;;;
31;DUKE COMMUNICATIONS;DUKE COMMUNICATIONS;;;;;;;
32;INST OF ELECTRICAL &;INST OF ELECTRICAL &;;;;;;;
33;Ziegler, Jurgen;Ziegler, Jurgen;;;;;;;
34;McGraw-Hill;McGraw-Hill;1221 Ave of the Americas;New York;NY;10020;800-822-8138;;
35;Kluwer Academic;Kluwer Academic;;;;;;;
36;West;West Pub Co;P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
37;Kluwer;Kluwer;;;;;;;
38;Boyd & Fraser;Boyd & Fraser Pub Co;20 Park Place., Suite 1405;Boston;MA;02116;617-426-2292;;
39;NEAL SCHUMAN;NEAL SCHUMAN PUB;;;;;;;
40;MICROSOFT;MICROSOFT PR;;;;;;;
41;OXFORD UNIV;OXFORD UNIV PR;;;;;;;
42;WROX;WROX PR INC;;;;;;;
43;WAITE GROUP;WAITE GROUP PR;;;;;;;
44;AP PROFESSIONAL;AP PROFESSIONAL;;;;;;;
45;QUE CORP;QUE CORP;11711 N College Ave, Suite 140;Carmel;IN;46032;;;
46;WADSWORTH;WADSWORTH PUB CO;10 Davis Dr.;Belmont;CA;94002;;;
47;Irwin;Irwin;4 Gentry St.;Baldwinsville;NY;13027;315-638-0175;;
48;KLUWER ACADEMIC;KLUWER ACADEMIC PUB;;;;;;;
49;Addison-Wesley;Addison-Wesley;Rte 128;Reading;MA;01867;617-944-3700;617-964-9460;
50;Starbuck, Orca;Starbuck, Orca;;;;;;;
51;Blacklock, P.;Blacklock, P.  Computer Programming (Edt);;;;;;;
52;Waite Group;Waite Group Press;100 Shoreline Hwy., Suite A285;Mill Valley;CA;94941;415-331-0575;415-331-1075;
53;Kluwer Academic;Kluwer Academic Publishers;;;;;;;
54;West;West Pub;P.O. Box 64256, 50 W. Kellogg Blvd.;St. Paul;MN;55164-0526;;;
55;BLACKWELL PUB;BLACKWELL PUB;3 Cambridge Ctr., Suite 208;Cambridge;MA ;02142;617-225-0401;;
56;MCCLELLAND & STEWART;MCCLELLAND & STEWART;;;;;;;
