sao	const	StarName	Mag	BV	MK	RA	DE	Distance	DblSep	DblPeriod	DblPA	VarName	VarType	PmRa	PmDec	ProperName	HIP	IAU	HD	DM	HR	WDS	PPM	SKY2K
53568	And		6.360	-.052	B9pSiEu	0h0'43.6343''	+45º15'12.001''	693.00				CG_And	ACV	.00165	.0002		63	J000043.63+451512.0	224801	BD+44 4538 	9080		42458	114
53580	And		6.250	-.046	B9IIIpHg:Mn:	0h1'43.8495''	+42º22'1.718''	1360.54						.00046	-.0018		137	J000143.84+422201.7	224906	BD+41 4920 	9086		42476	10111
36025	And		6.808	.052		0h3'41.8444''	+48º26'12.864''	519.21						-.00256	-.0082		297	J000341.84+482612.8	225124	BD+47 4373 			42519	30101
36042	And		6.690	.059	A1Vn	0h5'9.7582''	+45º13'44.505''	500.50	12.900		120			-.00257	-.0204		424	J000509.75+451344.5	3	BD+44 4550 	1	00052+4514	42548	50033
36046	And		9.010	1.440		0h5'41.0129''	+45º48'43.491''	39.17	6.100		180			.08405	-.1539		473	J000541.01+454843.4	38	BD+45 4408 		00057+4549		50098
36061	And		6.950	1.107		0h6'20.2081''	+40º53'55.484''	387.60						.00731	.0107		525	J000620.20+405355.4	145	BD+40 5233 			42569	60036
73765	And	21alp And	2.060	-.043	B9IV:pHgMn	0h8'23.2586''	+29º5'25.555''	99.21	81.500		280			.01035	-.1630	ALPHERATZ	677	J000823.25+290525.5	358	BD+28    4 	15	00084+2905	89441	80054
73803	And		7.192	.381		0h12'1.4495''	+28º36'23.400''	305.81						-.00114	-.0960		971	J001201.44+283623.4	755	BD+27   13 			89495	120006
36151	And		7.590	1.314		0h12'8.7512''	+48º10'56.105''	963.39						.00162	-.0029		982	J001208.75+481056.1	762	BD+47   23 			42679	120028
53744	And		6.230	.006	A1V	0h14'2.2811''	+33º12'21.741''	299.49						-.00061	-.0188		1123	J001402.28+331221.7	952	BD+32   21 	44		65114	140007
73830	And		7.006	.520		0h14'9.0298''	+26º15'31.671''	356.13						.00473	-.0305		1133	J001409.02+261531.6	976	BD+25   18 			89535	140026
36190	And		6.696	1.203		0h14'33.7365''	+41º1'57.512''	744.05						.00503	.0252		1164	J001433.73+410157.5	995	BD+40   34 			42726	140082
36193	And		9.120	.026		0h14'47.4770''	+41º45'38.596''	757.58						.00015	-.0034			J001447.47+414538.5	1029	BD+40   37 			42730	140121
53772	And		7.090	.048	A2V	0h16'43.0249''	+36º37'47.325''	464.25	2.300		138			-.00232	-.0255		1333	J001643.02+363747.3	1223	BD+35   35 		00167+3638	65147	160107
53799	And		8.860	.948		0h18'20.8897''	+30º57'22.129''	72.94						.01090	-.1760			J001820.88+305722.1	1405	BD+30   34 			65186	180053
36248	And		8.100	1.529		0h18'22.8853''	+44º1'22.632''	11.89	35.700		63			.26783	.4102		1475	J001822.88+440122.6	1326	BD+43   44 		00184+4401	42798	180032
73881	And		7.980	.500		0h18'24.9831''	+22º52'48.253''	446.23						.00119	-.0798		1480	J001824.98+225248.2	1418	BD+22   40 			89619	180063
73883	And		7.710	.157		0h18'30.5928''	+26º8'25.056''	408.00	5.200		248			-.00129	-.0258		1488	J001830.59+260825.0	1429	BD+25   29 		00185+2608	400009	180077
53803	And		5.880	-.016	A0IV	0h18'38.2575''	+31º31'2.017''	555.56						.00454	-.0029		1493	J001838.25+313102.0	1439	BD+30   35 	71		65189	180091
53827	And		6.900	.478		0h20'54.1251''	+32º58'40.820''	238.10	1.800		288			.00080	-.0648		1669	J002054.12+325840.8	1641	BD+32   48 		00209+3259	65220	200127
53844	And		7.020	1.610		0h22'23.6164''	+35º32'10.858''	1225.49						.00034	-.0040		1769	J002223.61+353210.8	1794	BD+34   42 			65244	220048
36303	And		9.120	.531		0h22'25.2893''	+42º35'13.570''	210.97						.00974	-.0583			J002225.28+423513.5		BD+41   46 			42867	220051
53849	And		6.720	1.610		0h22'57.3667''	+38º45'15.433''	859.11						.00027	.0052		1809	J002257.36+384515.4	1831	BD+37   54 			65251	220127
53876	And		7.350	1.577		0h25'17.7344''	+35º2'14.074''	5464.48						-.00097	-.0055		1996	J002517.73+350214.0	2093	BD+34   51 			65282	250044
53878	And		9.380	.500		0h25'18.7522''	+32º30'12.652''	681.66	5.200		168			.00288	-.0061			J002518.75+323012.6	2094	BD+31   50p		00253+3230	65284	250046
53888	And		8.030	.130	A2V	0h25'53.7324''	+35º18'21.093''	1001.00						-.00077	-.0070		2040	J002553.73+351821.0	2154	BD+34   53 			65297	250127
53921	And		6.870	.101	A0/2pSrCrEu	0h28'28.5710''	+32º26'15.881''	505.82						-.00211	-.0195		2243	J002828.57+322615.8	2453	BD+31   59 			65349	280060
53928	And		6.290	.910	G5III	0h28'56.6619''	+36º53'58.900''	474.16						-.00037	-.0028		2270	J002856.66+365358.9	2507	BD+36   66 	110		65357	280122
74082	And		8.720	.650		0h32'34.0581''	+28º11'51.474''	187.27						.01467	.0647		2563	J003234.05+281151.4	2909	BD+27   82 			89890	320080
36489	And		8.000	.874		0h35'0.8669''	+42º41'41.189''	96.56						-.01525	-.0722		2742	J003500.86+424141.1	3141	BD+41   87 			43092	350004
53997	And		8.460	1.270		0h35'5.1516''	+39º10'4.630''	1821.49	15.800		188			-.00027	-.0057			J003505.15+391004.6		BD+38   72 		00351+3910	65439	350011
36509	And		5.150	1.593	K6III	0h36'46.4410''	+44º29'18.913''	670.69						-.00343	.0318		2900	J003646.44+442918.9	3346	BD+43  113 	152		43119	360128
54033	And	29pi  And	4.350	-.117	B5V	0h36'52.8497''	+33º43'9.637''	670.69	35.900		173			.00122	-.0036		2912	J003652.84+334309.6	3369	BD+32  101 	154	00369+3343	65480	360144
36517	And		6.840	.027		0h37'26.4001''	+40º19'56.560''	557.41						-.00135	-.0013		2948	J003726.40+401956.5	3431	BD+39  138 			43127	370057
74164	And	30eps And	4.350	.860	G6IIIFe-3CH1	0h38'33.3458''	+29º18'42.305''	172.35						-.01754	-.2541		3031	J003833.34+291842.3	3546	BD+28  103 	163		90002	380092
74168	And		6.910	1.383	K3III	0h38'57.5090''	+26º19'25.523''	805.15						.00007	-.0206		3070	J003857.50+261925.5	3590	BD+25   92 			90008	380156
54058	And	31del And	3.270	1.282	K3III	0h39'19.6758''	+30º51'39.686''	103.55	28.700		298			.00896	-.0831		3092	J003919.67+305139.6	3627	BD+30   91 	165	00393+3052	65514	390035
54074	And		7.360	.940		0h40'49.2696''	+40º11'13.824''	57.57						.03104	-.6690		3206	J004049.26+401113.8	3765	BD+39  154 			43192	400106
36585	And		7.041	.452		0h42'1.4262''	+40º41'17.730''	163.56						-.00084	-.0625		3293	J004201.42+404117.7	3914	BD+39  158 			43212	420005
36596	And		7.050	1.521	K5III	0h42'48.9640''	+45º55'46.306''	577.70						-.00276	-.0129		3365	J004248.96+455546.3	3989	BD+45  181 			43231	420130
54116	And				A5IV	0h44'22.9733''	+33º37'5.142''	726.22	2.200		329			.00121	-.0049		3473	J004422.97+333705.1	4163	BD+32  124 		00444+3337	65586	440051
54117	And		9.700	.320		0h44'23.0618''	+33º32'11.147''	300.30	18.200		193			.00060	.0054			J004423.06+333211.1		BD+32  125 		00444+3332	65587	440152
54138	And		7.150	.954		0h46'24.3449''	+30º56'33.510''	236.41	47.100		47			-.00157	-.0649		3617	J004624.34+305633.5	4372	BD+30  113 		00464+3057	65615	460065
54139	And		7.300	1.126		0h46'27.0345''	+30º57'5.636''	601.68	46.500		46			-.00327	-.0293		3620	J004627.03+305705.6	4388	BD+30  114 		00464+3057	65616	460072
74267	And	34zet And	4.090	1.098	K1IIe	0h47'20.3254''	+24º16'1.841''	185.39	32.600		0	zet_And	EB/GS	-.00740	-.0819		3693	J004720.32+241601.8	4502	BD+23  106 	215	00473+2416	90149	470043
74267	And	34zet And	4.090	1.098	K1IIe	0h47'20.3254''	+24º16'1.841''	185.39	32.600		0	zet_And	EB/GS	-.00740	-.0819		3693	J004720.32+241601.8	4502	BD+23  106 	215	00473+2416	90149	470043
54164	And		7.960	.315		0h48'54.6593''	+32º55'28.719''	447.43						-.00218	-.0089		3805	J004854.65+325528.7	4653	BD+32  138 			65648	480126
36693	And		7.195	1.043		0h49'31.1530''	+46º30'39.460''	653.59						.00649	.0160		3854	J004931.15+463039.4	4695	BD+45  209 			43359	490082
36699	And	35nu  And	4.540	-.139	B5V	0h49'48.8473''	+41º4'44.079''	694.44						.00201	-.0181		3881	J004948.84+410444.0	4727	BD+40  171 	226		43365	490117
36713	And		9.970	.365		0h51'9.9404''	+41º11'51.952''	79.55	3.700		272			-.00547	-.0719			J005109.94+411151.9		BD+40  175 		00511+4112		510140
54224	And		6.780	.560		0h52'51.7531''	+40º14'44.051''	139.94						-.00796	.0524		4127	J005251.75+401444.0	5065	BD+39  198 			43412	520119
36751	And		7.200	.578		0h53'40.5849''	+43º21'48.207''	148.74						.02590	-.1294		4205	J005340.58+432148.2	5129	BD+42  195 			43429	530105
74359	And	36    And	5.500	1.008	K1IV	0h54'58.1072''	+23º37'42.007''	129.75	.800		293			.00997	-.0456		4288	J005458.10+233742.0	5286	BD+22  146 	258	00550+2338	90284	540103
54281	And	37mu  And	3.870	.140	A5V	0h56'45.2116''	+38º29'57.641''	139.30	42.200		307			.01301	.0368		4436	J005645.21+382957.6	5448	BD+37  175 	269	00568+3830	65785	560119
74388	And	38eta And	4.400	.948	G8-IIIb	0h57'12.4000''	+23º25'3.533''	248.02	131.700		232			-.00318	-.0461		4463	J005712.40+232503.5	5516	BD+22  153 	271	00572+2325	90327	570024
74388	And	38eta And	4.400	.948	G8-IIIb	0h57'12.4000''	+23º25'3.533''	248.02	131.700		232			-.00318	-.0461		4463	J005712.40+232503.5	5516	BD+22  153 	271	00572+2325	90327	570024
36795	And		6.090	1.025	K2III	0h57'39.6453''	+45º50'21.764''	449.24						.00108	-.0066		4501	J005739.64+455021.7	5526	BD+45  237 	272		43490	570094
54299	And		6.550	1.150		0h58'9.8791''	+39º28'31.333''	632.51						-.00015	-.0289		4542	J005809.87+392831.3	5597	BD+38  148 			65810	580033
36832	And		6.900	.042	A2Vn	1h0'3.3854''	+44º42'40.041''	429.55	7.800		193			.00138	-.0252		4675	J010003.38+444240.0	5788	BD+43  193 	282	01001+4443	400017	1000011
36833	And		6.070	-.034	B9.5Vn	1h0'3.5593''	+44º42'47.674''	429.55	7.800		193			.00138	-.0252			J010003.55+444247.6	5789	BD+43  193 	283	01001+4443	400017	1000147
54339	And		7.190	.130		1h0'31.4121''	+37º47'29.420''	494.56						.00128	.0005		4710	J010031.41+374729.4	5854	BD+37  190 			65852	1000076
36874	And	39    And	5.940	.177	A5m	1h2'54.2627''	+41º20'42.567''	351.25	20.500		4			-.00151	-.0170		4903	J010254.26+412042.5	6116	BD+40  209 	290	01029+4121	43575	1020123
36875	And		6.510	.259	A9IV	1h3'1.5470''	+47º22'34.168''	344.35						.00856	-.0155		4911	J010301.54+472234.1	6114	BD+46  243 	289	01030+4723	43576	1030005
36891	And		6.810	-.059	B2IV/V	1h3'53.3587''	+47º38'32.262''	2949.85						-.00052	-.0027		4983	J010353.35+473832.2	6226	BD+46  245 			43594	1030140
36972	And	42phi And	4.260	-.059	B7Ve	1h9'30.1255''	+47º14'30.453''	752.45	.500		131			.00037	-.0130		5434	J010930.12+471430.4	6811	BD+46  275 	335	01095+4715	43693	1090071
54467	And		8.420	.401		1h9'35.2621''	+39º46'51.763''	327.76						-.00050	-.0390		5441	J010935.26+394651.7	6834	BD+39  269 			66007	1090082
54471	And	43bet And	2.080	1.586	M0+IIIa	1h9'43.9236''	+35º37'14.008''	203.75	27.000		202			.01440	-.1122	MIRACH	5447	J010943.92+353714.0	6860	BD+34  198 	337	01097+3537	66010	1090097
54476	And		6.990	.510	F8V	1h9'56.9382''	+33º52'53.205''	334.00						.00607	.0080		5465	J010956.93+335253.2	6893	BD+33  181 			66015	1090123
36984	And	44    And	5.670	.598	F8V	1h10'18.7404''	+42º4'53.310''	175.62						-.01220	-.0419		5493	J011018.74+420453.3	6920	BD+41  219 	340		43709	1100052
37001	And		7.840	.880		1h11'14.5902''	+41º13'17.020''	440.33	.400		322			.00363	-.0293		5553	J011114.59+411317.0	7018	BD+40  235 		01112+4113	43727	1110028
37026	And		7.270	.770		1h13'6.0685''	+41º39'15.491''	149.08						.02808	-.0375		5684	J011306.06+413915.4	7205	BD+40  248 			43753	1130016
54543	And		7.720	.960	K0III	1h14'44.1292''	+39º26'58.720''	1054.85						.00136	-.0155		5827	J011444.12+392658.7	7392	BD+38  220 			66097	1140110
37069	And		6.600	.585		1h16'29.2530''	+42º56'21.911''	78.80						-.01024	-.0305		5944	J011629.25+425621.9	7590	BD+42  271 			43806	1160072
37087	And	AG+48 0137	7.160	.027		1h17'47.9817''	+49º0'30.402''	1038.42	.500		278			.00245	-.0131		6060	J011747.98+490030.4	7710	BD+48  392 		01178+4901	43839	1170114
37136	And		8.800	.634		1h20'44.2265''	+46º20'18.523''	404.04	20.000		334			-.00364	.0044		6292	J012044.22+462018.5	8044	BD+45  320 		01207+4620	43896	1200108
37148	And		6.540	1.130	G5Ib	1h21'51.9456''	+50º7'19.141''	5649.72						.00050	-.0019		6371	J012151.94+500719.1	8160	BD+49  358 			26258	1210113
37154	And		6.680	-.132		1h22'12.5883''	+43º35'2.819''	1122.33						.00033	-.0075		6401	J012212.58+433502.8	8209	BD+42  288 			43918	1220040
54648	And		6.800	.030	A0V	1h23'18.0921''	+36º30'52.677''	439.17						.00247	-.0168		6480	J012318.09+363052.6	8346	BD+35  260 			66225	1230055
54655	And	47    And	5.590	.288	A2Vm	1h23'40.6161''	+37º42'53.793''	216.03						.00689	-.0196		6514	J012340.61+374253.7	8374	BD+36  237 	395		66233	1230106
54683	And		8.410	1.106		1h25'23.5915''	+35º57'49.160''	289.86						-.00080	-.0260			J012523.59+355749.1	8585	BD+35  269 			66269	1250066
37248	And		6.650	.490	F8V	1h28'34.3597''	+42º16'3.677''	113.92						.00476	-.0990		6878	J012834.35+421603.6	8907	BD+41  283 			44029	1280072
37275	And	49    And	5.260	1.000	K0III	1h30'6.1026''	+47º0'26.185''	296.03						.00006	-.0425		6999	J013006.10+470026.1	9057	BD+46  370 	430		44057	1300013
37285	And		6.835	1.417		1h30'58.9231''	+49º20'35.602''	715.31						-.00467	-.0557		7057	J013058.92+492035.6	9137	BD+48  453 			44075	1300130
54771	And		6.619	1.141		1h32'47.7081''	+35º50'33.643''	495.29	2.900		191			-.00044	-.0509		7201	J013247.70+355033.6	9370	BD+35  292 		01328+3551	66379	1320117
37310	And		7.430	.330		1h33'33.8830''	+40º54'5.351''	243.31						.00217	-.0277		7262	J013333.88+405405.3	9443	BD+40  315 			44124	1330112
37345	And		7.070	-.050		1h36'3.0856''	+47º6'52.082''	980.39						.00192	-.0124		7457	J013603.08+470652.0	9709	BD+46  393 			44191	1360005
37350	And		7.390	.934		1h36'22.7459''	+47º19'33.081''	925.93						-.00145	-.0137		7483	J013622.74+471933.0	9747	BD+46  397 			44201	1360059
37362	And	50ups And	4.100	.541	F8V	1h36'47.8428''	+41º24'19.652''	44.89	114.000		128			-.01534	-.3810		7513	J013647.84+412419.6	9826	BD+40  332 	458	01368+4124	44216	1360124
37362	And	50ups And	4.100	.541	F8V	1h36'47.8428''	+41º24'19.652''	44.89	114.000		128			-.01534	-.3810		7513	J013647.84+412419.6	9826	BD+40  332 	458	01368+4124	44216	1360124
37375	And	51    And	3.590	1.281	K3-III	1h37'59.5561''	+48º37'41.567''	177.68						.00614	-.1124		7607	J013759.55+483741.5	9927	BD+47  467 	464		44238	1370138
